日期,最高气温,最低气温,天气,风向
2022/8/12,38,29,晴,南风 4级
2022/8/13,38,29,多云,南风 1级
2022/8/14,38,30,多云,东南风 1级
2022/8/15,38,30,多云,东北风 2级
2022/8/16,38,29,多云,东风 1级
2022/8/17,39,29,小雨,南风 2级
2022/8/18,39,30,晴,东南风 2级
2022/8/19,39,29,多云,东南风 2级
2022/8/20,39,29,多云,东风 1级
2022/8/21,38,30,多云,东南风 2级
2022/8/22,36,30,多云,西南风 1级
2022/8/23,37,25,多云,北风 3级
2022/8/24,32,26,多云,北风 2级
2022/8/25,34,26,多云,东北风 2级
2022/8/26,35,27,多云,西北风 1级
2022/8/27,32,24,多云,东北风 3级
2022/8/28,34,24,多云,北风 1级
2022/8/29,23,22,暴雨,北风 2级
2022/8/30,23,19,多云,北风 2级
2022/8/31,25,20,多云,东北风 2级
2022/9/1,27,21,多云,东北风 2级
2022/9/2,31,20,雾,东北风 3级
2022/9/3,31,20,多云,北风 3级
2022/9/4,32,21,多云,北风 2级
2022/9/5,34,21,雾,东北风 2级
2022/9/6,37,21,雾,东风 2级
2022/9/7,37,22,多云,东北风 1级
2022/9/8,36,24,多云,东南风 2级
2022/9/9,33,24,多云,北风 1级
2022/9/10,33,21,多云,北风 1级
2022/9/11,33,22,晴,东北风 2级
2022/9/12,33,21,晴,北风 2级
2022/9/13,33,21,晴,北风 3级
2022/9/14,32,21,晴,东北风 2级
2022/9/15,31,20,晴,东北风 1级
2022/9/16,33,19,晴,东北风 2级
2022/9/17,34,21,晴,北风 1级
2022/9/18,34,22,多云,东北风 2级
2022/9/19,34,20,晴,东北风 3级
2022/9/20,26,20,多云,北风 3级
2022/9/21,23,17,多云,西北风 2级
2022/9/22,24,19,多云,西风 1级
2022/9/23,28,20,多云,北风 1级
2022/9/24,24,17,多云,北风 3级
2022/9/25,25,16,多云,东北风 1级
2022/9/26,29,18,晴,北风 1级
2022/9/27,31,20,雾,北风 2级
2022/9/28,26,18,多云,南风 1级
2022/9/29,31,20,雾,东北风 1级
2022/9/30,35,24,多云,东风 2级
2022/10/1,37,27,晴,南风 3级
2022/10/2,37,27,晴,东南风 2级
2022/10/3,37,20,晴,西南风 2级
2022/10/4,21,12,多云,北风 3级
2022/10/5,12,11,多云,北风 2级
2022/10/6,11,10,中雨,北风 2级
2022/10/7,14,11,多云,西南风 1级
2022/10/8,15,13,小雨,西北风 1级
2022/10/9,19,6,雾,北风 2级
2022/10/10,20,8,多云,东北风 1级
2022/10/11,22,10,晴,东北风 2级
2022/10/12,23,10,多云,北风 1级
2022/10/13,25,9,雾,北风 2级
2022/10/14,25,12,晴,北风 2级
2022/10/15,26,13,雾,北风 2级
2022/10/16,28,14,雾,北风 2级
2022/10/17,23,11,多云,东北风 3级
2022/10/18,22,7,晴,北风 3级
2022/10/19,23,10,晴,西南风 1级
2022/10/20,24,15,雾,东风 2级
2022/10/21,25,13,雾,西风 1级
2022/10/22,27,14,雾,北风 2级
2022/10/23,27,13,晴,东北风 1级
2022/10/24,24,16,雾,东南风 1级
2022/10/25,23,16,多云,东风 2级
2022/10/26,18,13,小雨,东北风 2级
2022/10/27,18,14,阴,北风 2级
2022/10/28,17,14,雾,东北风 2级
2022/10/29,21,13,多云,北风 1级
2022/10/30,23,10,多云,北风 2级
2022/10/31,23,10,雾,北风 2级
2022/11/1,24,10,雾,东南风 3级
2022/11/2,25,10,雾,东北风 2级
2022/11/3,24,11,雾,东北风 2级
2022/11/4,20,12,多云,北风 3级
2022/11/5,20,9,多云,东南风 2级
2022/11/6,23,9,晴,东南风 2级
2022/11/7,24,11,雾,东北风 2级
2022/11/8,25,12,雾,东风 2级
2022/11/9,27,14,雾,东风 2级
2022/11/10,29,16,多云,东风 3级
2022/11/11,25,19,小雨,东北风 1级
2022/11/12,20,12,雾,北风 3级
2022/11/13,13,8,多云,北风 2级
2022/11/14,10,5,小雨,西南风 1级
2022/11/15,17,7,雾,东北风 2级
2022/11/16,16,10,小雨,西北风 1级
2022/11/17,19,10,雾,东北风 2级
2022/11/18,15,11,小雨,北风 2级
2022/11/19,18,8,雾,东北风 2级
2022/11/20,20,12,雾,东风 1级
2022/11/21,17,12,大雨,北风 2级
2022/11/22,16,9,多云,东北风 1级
2022/11/23,15,11,阴,北风 1级
2022/11/24,18,11,多云,东风 2级
2022/11/25,20,9,多云,东南风 1级
2022/11/26,21,12,多云,东南风 4级
2022/11/27,21,16,雾,东风 2级
2022/11/28,16,9,中雨,西北风 3级
2022/11/29,11,0,中雨,东北风 5级
2022/11/30,2,0,多云,东北风 4级
2022/12/1,1,0,多云,西风 1级
2022/12/2,7,0,雾,南风 1级
2022/12/3,7,5,多云,北风 2级
2022/12/4,6,2,雨夹雪,北风 2级
2022/12/5,6,2,多云,东风 1级
2022/12/6,8,5,多云,东北风 1级
2022/12/7,10,6,多云,东南风 2级
2022/12/8,12,5,多云,北风 2级
2022/12/9,14,3,多云,东北风 2级
2022/12/10,14,-1,多云,东北风 4级
2022/12/11,8,-1,多云,东风 2级
2022/12/12,10,-2,雾,东南风 1级
2022/12/13,13,-1,晴,北风 2级
2022/12/14,12,0,晴,东南风 2级
2022/12/15,12,4,多云,北风 2级
2022/12/16,5,1,多云,东北风 2级
2022/12/17,7,-4,多云,东风 1级
2022/12/18,9,-5,雾,东南风 2级
2022/12/19,13,-1,晴,东风 3级
2022/12/20,10,-1,多云,东南风 1级
2022/12/21,15,1,雾,东风 1级
2022/12/22,10,-3,晴,东北风 1级
2022/12/23,12,-2,晴,西南风 1级
2022/12/24,12,-1,雾,东风 2级
2022/12/25,11,1,多云,北风 2级
2022/12/26,8,1,多云,北风 1级
2022/12/27,6,2,多云,北风 3级
2022/12/28,6,-1,多云,东北风 2级
2022/12/29,9,-3,多云,东风 2级
2022/12/30,11,-2,雾,东南风 1级
2022/12/31,10,-1,阴,西南风 1级
